Education,Marital_Status,Income,Kids,Expense,TotalAcceptedCmp,NumTotalPurchases,Age,engagement_days
PG,Single,61823.0,1,884,0,24,72,682
PG,Single,67680.0,1,606,0,19,73,569
PG,Couple,70666.0,0,1076,0,16,76,391
PG,Couple,25721.0,1,34,0,5,53,590
PG,Couple,32474.0,2,11,0,4,57,235
PG,Single,88194.0,1,1274,2,32,45,288
PG,Couple,69096.0,1,653,0,18,66,461
PG,Couple,74854.0,3,1562,0,19,54,633
PG,Couple,66991.0,0,1253,0,21,70,842
PG,Couple,47633.19,1,109,0,9,51,839
PG,Couple,65031.0,1,863,0,30,65,655
PG,Couple,60631.0,2,661,1,24,49,636
PG,Couple,28332.0,0,65,0,8,72,246
PG,Single,40246.0,1,13,0,4,47,743
PG,Couple,75251.0,0,1890,0,19,52,857
PG,Single,75825.0,0,2209,1,22,48,811
PG,Couple,26326.0,0,18,0,4,48,484
PG,Couple,56046.0,0,692,1,21,59,729
PG,Single,29760.0,1,165,0,12,39,855
PG,Couple,26304.0,1,16,0,4,55,557
PG,Couple,23559.0,1,79,0,9,51,547
PG,Couple,38620.0,0,318,0,11,61,600
PG,Single,81361.0,0,778,0,27,37,310
PG,Couple,29440.0,2,56,0,7,64,508
PG,Couple,36138.0,2,151,1,13,54,534
PG,Single,50388.0,1,372,2,17,67,218
PG,Couple,79593.0,0,1366,1,19,51,234
PG,Couple,54178.0,1,194,0,10,57,345
PG,Couple,56145.31392931393,3,603,0,29,67,773
PG,Single,52720.37365591398,2,18,0,4,67,219
PG,Couple,52917.53424657534,0,985,0,15,51,404
PG,Single,42394.0,1,32,0,5,52,284
PG,Couple,23626.0,1,43,0,10,54,222
PG,Couple,30096.0,1,45,0,6,41,224
PG,Single,47916.0,1,606,1,22,64,770
PG,Single,51813.0,2,63,0,7,52,630
PG,Couple,78497.0,0,978,1,25,73,396
PG,Couple,50150.0,0,410,0,16,41,560
PG,Single,47823.0,1,72,0,7,64,527
PG,Single,34554.0,1,55,0,7,65,277
PG,Couple,85693.0,1,1169,0,27,45,621
PG,Couple,65846.0,0,1120,0,16,79,594
PG,Couple,87195.0,0,1097,0,20,65,238
UG,Couple,24594.0,1,29,0,5,45,387
PG,Couple,49096.0,2,187,0,13,60,464
PG,Couple,52413.0,2,910,0,26,55,698
PG,Single,38557.0,1,145,0,9,46,743
PG,Couple,89058.0,0,850,0,14,64,755
PG,Couple,77298.0,1,969,0,24,45,425
PG,Single,68126.0,0,1820,1,17,33,782
PG,Couple,57288.0,1,608,1,20,61,190
PG,Single,86037.0,0,730,2,25,33,729
PG,Couple,43974.0,1,551,0,21,44,750
PG,Single,50785.0,2,114,0,8,62,478
PG,Couple,90765.0,0,1724,2,15,54,342
PG,Couple,36550.0,1,577,0,20,46,681
PG,Couple,30753.0,2,81,0,7,57,539
PG,Couple,21918.0,1,33,0,7,55,413
PG,Couple,56129.0,1,660,0,22,71,560
PG,Single,32557.0,1,80,0,9,57,311
PG,Couple,19510.0,2,30,0,6,39,484
PG,Single,30992.0,1,43,0,5,48,619
PG,Single,101970.0,0,1135,3,27,41,660
PG,Couple,71488.0,0,559,0,16,59,682
PG,Single,79607.0,0,1923,0,16,40,620
PG,Couple,54348.0,2,90,0,8,71,207
PG,Couple,56145.31392931393,1,404,0,17,63,539
PG,Couple,77376.0,2,661,0,23,68,236
PG,Couple,62998.0,1,463,0,19,72,458
PG,Single,61331.0,2,632,0,23,66,662
PG,Couple,73448.0,0,725,0,19,55,325
PG,Couple,52720.37365591398,1,725,0,19,61,508
PG,Couple,41551.0,2,279,0,16,60,505
PG,Couple,62981.0,0,1482,1,23,57,655
UG,Single,9548.0,1,29,0,6,48,876
PG,Couple,33762.0,3,106,0,9,65,543
PG,Single,35860.0,2,49,1,6,51,227
PG,Single,36921.0,2,38,0,7,59,522
PG,Single,92859.0,0,2077,0,22,32,804
PG,Couple,65104.0,1,1053,0,17,48,413
PG,Couple,86111.0,0,1385,0,23,62,622
PG,Single,68352.0,1,871,0,25,50,491
PG,Couple,41883.0,1,312,0,12,36,653
PG,Couple,59809.0,2,877,0,15,48,805
PG,Couple,23957.0,1,68,0,6,49,795
PG,Couple,38547.0,1,22,0,4,43,491
PG,Couple,35688.0,3,211,0,16,51,862
PG,Couple,49605.0,0,127,0,8,58,194
PG,Couple,59354.0,2,459,0,16,71,252
PG,Couple,65747.0,1,460,1,19,55,300
PG,Couple,46344.0,1,429,0,17,52,748
PG,Single,34176.0,1,89,0,11,36,234
PG,Couple,61010.0,1,1021,0,26,72,814
PG,Couple,69372.0,0,1381,2,21,75,681
PG,Single,49967.0,1,306,0,15,66,542
PG,Single,60199.0,3,18,0,4,46,476
PG,Couple,55375.0,1,162,0,9,47,441
PG,Single,80317.0,0,1231,0,18,69,499
PG,Single,30523.0,3,13,0,4,66,549
PG,Couple,70356.0,0,1706,0,27,79,787
PG,Couple,23228.0,1,121,0,11,40,361
PG,Single,74165.0,0,1293,0,20,49,610
PG,Couple,157243.0,1,1608,0,37,51,306
PG,Couple,43482.0,3,88,0,9,58,414
PG,Single,62551.0,0,421,1,18,71,409
PG,Single,52332.0,0,259,1,12,65,491
PG,Single,66951.0,0,1117,0,15,36,425
PG,Couple,26091.0,2,89,0,9,67,310
PG,Couple,33456.0,2,36,0,6,59,255
PG,Couple,28718.0,1,57,0,7,42,537
PG,Couple,50447.0,2,148,0,8,54,255
PG,Couple,53537.0,2,93,0,8,65,336
PG,Single,52074.0,1,119,1,7,57,272
PG,Couple,80427.0,1,1835,0,28,49,841
PG,Couple,83837.0,0,1318,2,25,76,746
PG,Couple,38853.0,2,45,0,7,54,223
PG,Couple,38285.0,3,10,0,4,65,191
PG,Couple,78497.0,0,978,1,25,73,396
PG,Couple,51650.0,1,191,0,10,48,235
PG,Couple,16248.0,1,57,0,9,36,236
PG,Couple,66835.0,0,1033,0,24,78,460
PG,Couple,30477.0,1,66,0,6,40,344
UG,Couple,28249.0,0,43,0,6,63,200
PG,Couple,25271.0,1,50,0,5,41,757
PG,Single,32303.0,1,39,0,7,54,299
PG,Couple,61286.0,1,608,0,18,58,517
PG,Couple,74068.0,0,1581,0,24,48,653
PG,Couple,45759.0,2,68,0,7,60,677
UG,Couple,24882.0,1,80,1,5,46,844
PG,Couple,66973.0,0,1282,0,28,35,594
PG,Single,36640.0,1,65,0,6,124,462
PG,Couple,38872.0,1,91,0,8,36,581
PG,Couple,51148.0,2,315,0,16,51,682
PG,Couple,31353.0,2,31,0,6,47,368
PG,Couple,69661.0,0,834,0,23,44,233
PG,Couple,80067.0,0,1600,1,17,70,469
PG,Couple,86718.0,0,1270,0,17,70,714
PG,Single,46854.0,2,263,1,15,51,276
PG,Single,69142.0,1,535,1,19,72,186
PG,Single,75922.0,0,1295,0,18,56,388
PG,Single,63693.0,1,1150,0,29,46,444
PG,Couple,102160.0,0,1240,3,26,47,790
PG,Single,40637.0,2,38,0,6,59,533
PG,Single,18890.0,0,35,1,4,40,782
PG,Couple,29604.0,1,53,1,5,36,389
PG,Single,48721.0,2,293,0,17,61,598
PG,Couple,44794.0,1,65,0,6,58,207
PG,Single,64497.0,1,1804,1,29,70,843
PG,Couple,46097.0,1,241,0,15,68,641
PG,Couple,77972.0,0,1101,0,20,70,289
PG,Couple,44377.0,2,264,0,19,56,818
PG,Couple,46014.0,2,541,0,26,50,710
PG,Couple,70951.0,0,1198,0,17,39,607
PG,Couple,41443.0,1,482,0,20,47,275
PG,Single,52195.0,3,17,0,4,46,234
PG,Couple,83790.0,0,1615,2,25,76,412
PG,Single,44551.0,1,285,0,12,70,488
PG,Couple,69508.0,1,1135,0,28,44,778
PG,Couple,45204.0,1,114,0,7,36,265
PG,Couple,72460.0,0,1047,0,16,55,413
PG,Couple,77622.0,2,714,0,22,54,262
PG,Couple,30732.0,1,185,0,13,44,726
PG,Single,63887.0,1,1245,0,32,62,845
PG,Couple,42011.0,1,189,0,12,46,646
PG,Couple,51369.0,1,576,0,16,48,798
PG,Single,51537.0,1,1103,0,18,72,753
PG,Couple,79930.0,0,1753,0,17,52,876
PG,Couple,34320.0,1,17,0,4,38,319
PG,Single,37070.0,2,433,0,23,58,652
PG,Single,81975.0,1,1588,1,14,62,726
PG,Couple,38590.0,1,22,0,4,53,596
PG,Single,15033.0,0,19,0,5,73,260
PG,Couple,62745.0,1,1117,0,29,59,649
PG,Couple,22212.0,1,69,0,8,49,388
PG,Couple,23661.0,1,23,0,5,42,393
PG,Single,79761.0,1,605,0,19,66,454
PG,Single,7500.0,1,57,0,11,51,371
PG,Single,60182.0,1,22,0,4,131,229
PG,Single,73455.0,0,2088,1,22,56,430
PG,Couple,64961.0,1,1009,0,16,66,739
PG,Single,22804.0,1,26,0,5,53,519
PG,Couple,73687.0,0,1627,1,22,34,399
PG,Couple,61074.0,1,1102,0,31,66,867
PG,Couple,31686.0,2,17,0,6,60,210
PG,Couple,80134.0,1,1690,3,16,52,591
PG,Couple,75027.0,1,1390,0,21,71,722
PG,Couple,67546.0,0,2126,0,20,36,853
PG,Couple,65176.0,1,1531,0,25,55,794
PG,Single,31160.0,1,64,0,7,49,472
PG,Single,29938.0,1,26,0,6,39,431
PG,Single,102692.0,0,1112,4,29,50,636
PG,Couple,26490.0,0,210,0,11,66,831
PG,Couple,75702.0,2,1148,0,26,57,855
PG,Single,30899.0,1,33,0,6,50,810
PG,Couple,63342.0,1,1101,1,19,63,807
PG,Single,45989.0,1,322,0,16,60,801
PG,Single,18701.0,2,44,0,10,60,576
PG,Single,40737.0,3,17,0,4,67,389
PG,Single,15287.0,1,31,1,6,45,813
PG,Single,69674.0,2,845,0,25,56,589
PG,Couple,44159.0,1,275,0,15,54,198
PG,Couple,37717.0,1,25,0,4,46,769
PG,Couple,43776.0,2,275,0,17,72,697
PG,Couple,38179.0,2,90,0,11,58,658
PG,Couple,80124.0,0,1495,1,19,61,189
PG,Couple,38097.0,2,184,1,11,54,808
PG,Couple,72940.0,0,981,0,13,54,561
PG,Couple,22070.0,1,67,0,8,54,454
PG,Single,69267.0,0,1635,0,14,71,831
PG,Single,31788.0,1,60,0,10,41,287
PG,Couple,61905.0,1,231,0,12,49,331
PG,Couple,29315.0,2,48,0,10,64,270
PG,Single,33378.0,2,99,0,9,61,694
PG,Couple,66313.0,1,770,0,23,61,472
PG,Single,60714.0,0,957,0,23,68,714
PG,Couple,77882.0,0,818,0,12,43,246
PG,Single,69867.0,0,925,1,17,38,639
PG,Single,63841.0,1,908,0,22,56,620
UG,Couple,24480.0,1,102,0,10,43,689
PG,Couple,51369.0,1,576,0,16,48,798
PG,Couple,37760.0,0,317,0,13,78,853
PG,Couple,65640.0,1,461,0,15,50,306
PG,Couple,44319.0,2,37,0,7,49,259
PG,Couple,30631.0,1,70,0,7,50,538
PG,Couple,75278.0,0,930,0,23,72,702
PG,Couple,50898.0,2,859,0,33,68,723
PG,Single,79946.0,0,1478,0,22,58,234
PG,Single,35416.0,0,390,0,16,75,567
PG,Couple,32414.0,0,52,1,5,40,546
PG,Couple,38361.0,1,137,0,10,55,370
PG,Couple,82497.0,0,1919,1,19,44,792
PG,Couple,16626.0,2,68,0,9,53,351
PG,Couple,29672.0,2,25,0,4,59,660
PG,Couple,55951.0,1,1374,2,23,72,861
PG,Single,35388.0,1,32,0,5,36,665
PG,Couple,42386.0,1,100,0,7,38,718
PG,Single,68627.0,0,825,0,12,42,719
PG,Single,57912.0,1,916,1,28,59,290
PG,Single,35246.0,2,62,0,11,66,260
PG,Couple,58821.0,1,728,0,21,68,446
PG,Couple,46377.0,1,90,0,7,46,306
PG,Single,39747.0,1,273,0,13,36,263
PG,Couple,23976.0,1,66,0,10,40,370
PG,Couple,80950.0,0,1213,1,23,63,644
PG,Single,27038.0,0,107,0,7,58,835
PG,Single,77457.0,0,1157,1,18,77,302
PG,Couple,64100.0,1,546,1,18,60,478
PG,Couple,42670.0,0,241,0,11,32,614
PG,Single,12571.0,1,53,0,11,48,348
PG,Couple,22574.0,3,37,0,7,57,430
PG,Couple,52720.37365591398,0,1611,2,24,35,577
PG,Single,70893.0,0,1508,0,23,48,694
PG,Couple,54198.0,2,235,0,16,58,380
PG,Couple,28839.0,2,32,0,7,68,296
PG,Couple,40321.0,2,102,0,8,52,521
PG,Single,66503.0,1,401,0,15,39,870
PG,Couple,30833.0,2,28,0,6,73,534
PG,Single,52720.37365591398,3,1052,2,21,54,496
PG,Couple,64795.0,1,680,0,21,53,714
PG,Couple,34421.0,1,30,0,4,50,549
PG,Single,47025.0,2,20,0,4,59,326
PG,Single,64325.0,1,1307,0,23,63,693
PG,Single,40464.0,1,630,0,24,71,720
PG,Couple,62187.0,0,1283,0,18,67,545
PG,Single,14849.0,1,65,0,9,48,548
PG,Couple,27255.0,1,37,0,5,40,420
PG,Couple,54432.0,3,38,0,5,74,602
PG,Single,29999.0,1,160,0,12,38,687
PG,Single,24072.0,1,23,0,4,41,625
PG,Single,33996.0,0,71,0,6,35,477
PG,Couple,66334.0,1,1161,0,19,68,638
PG,Couple,35178.0,1,59,1,5,53,721
PG,Couple,22010.0,1,33,0,7,41,550
PG,Single,62204.0,2,946,0,22,64,841
PG,Single,75693.0,0,1442,3,22,56,756
PG,Couple,30675.0,1,62,0,5,52,780
PG,Couple,83003.0,0,1674,1,22,59,669
PG,Couple,83532.0,0,1853,1,15,125,462
PG,Single,68655.0,0,1538,0,21,36,874
PG,Single,41411.0,0,139,0,8,38,390
PG,Couple,55212.0,1,1182,2,20,55,769
PG,Couple,59292.0,1,507,0,18,74,567
UG,Couple,27190.0,1,18,1,4,51,504
PG,Single,82623.0,0,940,0,16,72,417
PG,Couple,44300.0,2,42,0,6,59,557
PG,Single,84835.0,0,1190,0,15,54,199
PG,Single,30372.0,2,44,0,8,53,737
PG,Couple,33181.0,1,16,1,4,48,363
PG,Couple,71113.0,1,835,0,26,67,380
PG,Couple,71952.0,1,1443,2,22,38,721
PG,Single,69759.0,0,1029,0,18,58,430
PG,Couple,72099.0,0,1188,0,18,50,796
PG,Single,60000.0,1,1277,0,24,48,740
PG,Single,38643.0,2,49,0,7,46,398
PG,Couple,50737.0,1,99,1,7,69,600
PG,Couple,68462.0,0,1670,0,15,55,750
PG,Couple,65073.0,0,900,0,14,81,499
PG,Couple,46681.0,2,425,0,16,76,450
PG,Couple,78618.0,0,2153,1,22,67,825
PG,Single,62187.0,1,636,0,21,55,285
PG,Couple,28442.0,2,57,0,10,46,311
PG,Couple,37717.0,1,25,0,4,46,769
PG,Couple,51479.0,2,494,0,22,57,734
PG,Single,54803.0,1,693,0,19,55,863
PG,Couple,79530.0,0,1348,0,26,64,594
PG,Single,31615.0,1,51,0,7,48,656
PG,Couple,72025.0,0,1932,0,16,62,775
PG,Single,52614.0,1,990,0,16,49,761
PG,Couple,35684.0,1,30,0,5,40,254
PG,Couple,48178.0,2,254,0,16,49,795
PG,Single,29548.0,1,29,1,5,54,490
PG,Single,63810.0,1,1371,1,23,58,781
PG,Single,38578.0,2,73,0,9,52,558
PG,Single,46098.0,2,120,0,11,49,866
PG,Single,22585.0,0,81,1,5,54,654
PG,Single,30279.0,1,37,0,5,35,732
PG,Couple,66426.0,1,1377,0,20,63,456
PG,Single,30822.0,1,51,0,5,55,566
PG,Couple,33581.0,2,17,0,4,55,723
PG,Couple,19986.0,1,22,0,4,39,413
PG,Single,27421.0,0,324,0,14,70,750
PG,Couple,35688.0,3,211,0,16,51,862
PG,Single,36143.0,1,19,0,4,43,277
PG,Single,10245.0,1,41,0,8,53,596
PG,Couple,43795.0,1,492,1,17,56,442
PG,Couple,63381.0,1,1005,0,26,64,818
PG,Couple,38823.0,1,114,0,7,75,854
PG,Single,83664.0,2,1173,0,19,56,603
PG,Couple,90300.0,0,1738,1,19,45,363
PG,Couple,62499.0,1,222,0,12,45,388
PG,Single,74293.0,0,1127,0,16,31,242
PG,Couple,51012.0,0,209,0,10,78,623
PG,Couple,70777.0,1,787,0,23,56,310
PG,Couple,68682.0,0,1598,0,24,33,452
PG,Couple,43824.0,2,186,0,12,53,838
PG,Couple,15345.0,1,47,0,6,40,853
PG,Single,23442.0,1,27,0,5,37,738
PG,Couple,14515.0,1,96,0,11,44,783
PG,Single,31395.0,2,64,0,10,68,649
PG,Couple,75276.0,0,1040,0,23,59,826
PG,Single,42373.0,2,163,0,13,50,504
PG,Couple,30507.0,0,343,0,11,64,661
PG,Single,55521.0,3,446,1,24,69,436
PG,Couple,48006.0,2,41,0,5,59,206
PG,Single,27213.0,1,70,0,9,52,854
PG,Single,65808.0,2,272,0,14,53,216
PG,Couple,30351.0,1,46,0,6,50,574
PG,Couple,50437.0,2,490,0,19,61,806
PG,Single,23616.0,1,79,0,8,42,775
PG,Couple,53858.0,1,915,0,17,48,783
PG,Couple,66465.0,1,1485,1,35,69,642
PG,Single,46923.0,1,369,0,16,37,862
PG,Couple,75072.0,1,1073,0,19,62,708
PG,Couple,75865.0,0,1242,0,19,81,276
PG,Couple,19789.0,1,78,1,9,49,407
PG,Couple,80134.0,0,1378,4,21,30,321
PG,Single,91065.0,0,1474,2,26,43,678
PG,Couple,49505.0,2,751,0,29,53,667
PG,Couple,37401.0,1,48,0,7,51,240
PG,Couple,30096.0,1,45,0,6,41,224
PG,Couple,18492.0,1,10,0,4,42,210
PG,Couple,82584.0,0,1435,2,16,50,576
PG,Couple,93027.0,0,2119,1,22,83,628
PG,Couple,48686.0,3,20,0,4,71,393
PG,Couple,92910.0,0,1795,3,27,38,252
PG,Couple,75433.0,1,1188,2,19,35,271
PG,Couple,10404.0,1,43,0,7,35,242
PG,Couple,61314.0,1,1008,0,24,56,616
PG,Single,84865.0,0,1688,4,16,63,602
PG,Couple,42387.0,1,684,0,21,35,794
PG,Couple,67309.0,2,1082,0,39,57,708
PG,Couple,75236.0,1,1068,0,25,60,402
PG,Single,30015.0,1,57,0,7,54,333
PG,Couple,50943.0,1,46,0,5,68,559
PG,Single,67272.0,1,733,0,23,58,376
PG,Single,51529.0,1,467,0,17,75,481
PG,Couple,32011.0,1,122,0,10,53,497
PG,Couple,7500.0,1,36,0,7,38,693
PG,Couple,28691.0,1,34,0,5,35,546
PG,Couple,56223.0,1,156,0,10,76,377
PG,Couple,18100.0,0,14,0,4,78,513
PG,Single,30279.0,1,37,0,5,35,732
PG,Couple,20130.0,0,34,0,5,50,290
PG,Single,23295.0,0,20,0,4,65,537
PG,Single,42618.0,1,192,0,11,52,449
PG,Single,81246.0,0,1379,2,17,60,368
PG,Couple,24027.0,1,48,0,7,48,571
PG,Couple,55707.0,1,428,0,16,71,375
PG,Single,57959.0,1,868,0,27,69,609
PG,Couple,56796.0,1,1001,0,27,55,684
PG,Single,36230.0,1,59,0,7,53,441
PG,Couple,70829.0,2,431,0,16,44,396
PG,Couple,65991.0,1,971,0,27,48,846
PG,Couple,38988.0,3,348,0,19,52,864
PG,Single,89572.0,0,2059,2,24,58,838
PG,Couple,42207.0,1,265,1,14,40,640
PG,Couple,50300.0,1,270,0,13,72,221
PG,Couple,66664.0,0,1289,0,19,42,828
PG,Couple,60597.0,1,893,1,16,60,365
PG,Single,70165.0,0,926,0,22,75,466
PG,Single,50520.0,1,135,0,9,66,338
PG,Couple,80124.0,0,1495,1,19,61,189
PG,Couple,33183.0,1,120,0,9,49,311
PG,Single,66582.0,0,1288,0,20,55,304
PG,Couple,75261.0,0,1743,2,17,69,618
PG,Single,31880.0,1,15,0,4,54,792
PG,Couple,53790.0,2,542,0,20,73,301
PG,Couple,49269.0,1,890,0,25,53,869
PG,Couple,61456.0,1,1388,0,33,49,645
PG,Couple,37406.0,1,17,0,4,44,448
PG,Couple,56937.0,1,906,1,30,43,880
PG,Couple,38415.0,2,44,0,6,46,729
PG,Single,20518.0,1,25,0,5,36,228
PG,Couple,62503.0,1,973,0,26,68,682
PG,Single,41644.0,2,31,0,6,52,237
PG,Couple,55842.0,1,518,0,17,47,223
PG,Couple,62010.0,1,530,0,19,52,800
PG,Couple,41124.0,1,506,0,21,47,792
PG,Couple,38961.0,1,70,0,6,51,367
PG,Single,37760.0,1,54,0,6,52,508
PG,Single,32233.0,1,296,1,12,50,865
PG,Couple,43057.0,1,266,0,15,49,428
PG,Couple,83151.0,0,747,0,19,64,813
PG,Single,78825.0,0,895,0,29,60,839
PG,Couple,65104.0,1,1053,0,17,48,413
PG,Couple,60093.0,1,735,0,21,50,554
PG,Couple,14045.0,1,20,0,5,55,340
PG,Single,28457.0,0,205,0,10,72,795
PG,Couple,78952.0,1,2092,0,21,66,829
PG,Single,46310.0,1,309,0,14,48,759
PG,Couple,76005.0,0,1722,1,22,69,678
PG,Single,58308.0,1,900,0,15,60,719
PG,Single,55614.0,0,682,1,20,80,400
PG,Single,59432.0,1,663,0,22,62,628
PG,Single,55563.0,1,43,0,6,46,271
PG,Couple,78642.0,1,1816,0,18,53,620
PG,Couple,67911.0,1,976,0,27,75,224
PG,Couple,65275.0,0,746,0,21,80,638
PG,Couple,27203.0,2,64,0,6,74,878
PG,Couple,48330.0,1,32,0,5,63,412
UG,Couple,24279.0,0,263,0,9,34,733
PG,Couple,64355.0,1,1445,0,21,39,860
PG,Couple,50943.0,1,46,0,5,68,559
PG,Single,53653.0,0,1210,0,28,71,785
PG,Couple,65665.0,1,945,0,24,48,395
PG,Single,81217.0,0,1157,0,22,35,531
PG,Couple,34935.0,0,137,0,8,32,559
PG,Single,61250.0,1,730,0,25,65,746
PG,Couple,39665.0,1,216,1,12,43,586
PG,Single,60152.0,1,943,0,23,45,644
PG,Couple,48920.0,2,347,1,16,60,438
PG,Couple,89120.0,0,1924,1,19,65,290
PG,Couple,44124.0,1,397,0,17,78,600
PG,Single,81169.0,0,2089,0,22,49,627
PG,Couple,36443.0,2,138,0,11,63,697
PG,Single,26095.0,1,42,0,5,34,550
PG,Couple,71367.0,0,777,0,17,65,496
PG,Couple,80184.0,0,1902,2,20,80,306
PG,Single,30630.0,2,52,0,7,59,339
PG,Single,73454.0,0,1651,1,13,37,306
PG,Couple,42691.0,0,358,0,13,33,503
PG,Couple,70503.0,0,1727,2,16,71,823
PG,Couple,25545.0,1,210,0,10,37,845
PG,Couple,32880.0,1,42,0,5,38,758
PG,Couple,77863.0,0,1291,0,20,66,400
PG,Couple,50353.0,0,442,0,15,47,207
PG,Single,61839.0,0,1895,0,17,60,872
PG,Couple,49154.0,2,411,0,19,64,424
PG,Single,47682.0,1,521,0,19,49,685
PG,Single,72679.0,1,1168,0,17,55,470
PG,Couple,57954.0,2,493,1,23,47,197
PG,Couple,65316.0,2,260,0,12,62,617
PG,Single,28567.0,1,46,0,7,42,563
PG,Couple,47352.0,1,319,0,16,73,630
PG,Couple,44931.0,1,96,0,7,57,348
PG,Single,76982.0,0,1062,1,16,57,320
PG,Couple,57247.0,1,232,0,12,72,511
PG,Single,22944.0,1,76,0,9,43,374
PG,Couple,25315.0,1,54,0,9,47,420
PG,Single,43638.0,1,201,0,11,55,878
PG,Single,42710.0,1,406,0,14,40,764
PG,Couple,84169.0,0,1919,2,20,42,512
PG,Couple,54058.0,1,662,0,20,48,576
PG,Couple,24683.0,1,41,0,8,34,299
PG,Single,85620.0,0,1600,0,14,60,359
PG,Couple,47850.0,1,134,0,8,44,394
PG,Couple,19514.0,2,69,1,10,56,340
PG,Couple,27159.0,2,21,0,6,51,278
PG,Single,39548.0,2,54,0,7,61,276
PG,Single,21474.0,1,91,1,8,35,268
PG,Single,60504.0,1,526,0,18,53,328
PG,Couple,22419.0,0,162,0,8,61,623
PG,Couple,81698.0,0,1008,0,25,75,421
PG,Couple,43462.0,2,240,0,16,72,841
PG,Single,54880.0,1,795,0,21,46,671
PG,Couple,79908.0,0,1772,1,19,42,636
PG,Couple,15315.0,0,64,0,8,54,516
PG,Couple,87771.0,1,1957,4,20,65,589
PG,Couple,33039.0,1,78,0,7,46,479
PG,Single,81741.0,0,1572,0,19,44,564
PG,Couple,71499.0,1,795,0,26,53,555
PG,Couple,62466.0,1,889,0,26,54,351
PG,Single,48799.0,1,331,0,15,61,422
PG,Couple,52157.0,1,265,0,12,74,208
PG,Single,66565.0,1,1065,0,19,62,757
PG,Couple,29298.0,2,11,0,4,73,481
PG,Single,47691.0,1,21,0,4,45,545
PG,Couple,38200.0,2,17,0,4,54,755
PG,Couple,44989.0,1,369,0,16,50,841
PG,Couple,38443.0,2,38,0,6,56,339
PG,Single,38593.0,1,177,0,11,46,475
PG,Couple,64413.0,1,279,0,12,54,518
PG,Couple,36959.0,1,62,0,7,43,456
PG,Couple,61996.0,1,1230,3,21,47,700
PG,Couple,51287.0,2,182,0,11,56,275
PG,Couple,13260.0,2,49,0,10,54,496
PG,Couple,47472.0,2,75,0,8,58,472
